menu,category,product
음료,콜드 브루 커피,나이트로 바닐라 크림
,,제주 비자림 콜드
,,코코넛 화이트 콜드 브루
,,나이트로 쇼콜라 클라우드
,,콜드 브루 몰트
,브루드 커피,아이스 커피
,,오늘의 커피
,에스프레소,에스프레소 콘 파나
,,에스프레소 마키아또
,,카페 아메리카노
,프라푸치노,더블 에스프레소 칩 프라푸치노
,,블랙 와플칩 크림 프라푸치노
,,피스타치오 크림 프라푸치노
,블렌디드,피치 & 레몬 블렌디드
,,망고 패션 후르츠 블렌디드
,,딸기 요거트 블렌디드
,,망고 바나나 블렌디드
,,익스트림 티 블렌디드
,스타벅스 피지오,매직 팝 스플래쉬 피지오
,,블랙 티 레모네이드 피지오
,,쿨 라임 피지오
,,패션 탱고 티 레모네이드 피지오
,,핑크 자몽 피지오
,티(티바나),피치 젤리 핫 티
,,피치 젤리 아이스 티
,기타 제조 음료,시그니처 핫 초콜릿
,,아이스 시그니처 초콜릿
,,플러피 판다 핫 초콜릿
푸드,베이커리,녹차 머핀
,,다크 초콜릿 칩 머핀
,,상큼한 블루베리 머핀
,케이크,서머 베리 요거트 케이크
,,7 레이어 가나슈 케이크
,,레드벨벳 크림치즈 케이크
,,마스카포네 티라미수 케이크
,샌드위치 & 샐러드,베이컨 포테이토 롤
,,스크램블 에그 롤
,,애플 까망베르 샌드위치
,,트리플 머쉬룸 치즈 샌드위치
,따뜻한 푸드,트러플 머쉬룸 수프
,,현미 크림 수프
,과일 & 요거트,사과 가득 핸디 젤리
,,제주 자연 청 세트
,,하루 한 컵 RED
,스낵 & 미니 디저트,로고 코인 다크 초콜릿 (골드)
,,로스티드 아모든 앤 초콜릿
,아이스크림,유기농 바닐라 아이스크림
,,유기농 초콜릿 아이스크림